Source,Date,Title,Content,Name,Rating,Version,Device
"BBC iPlayer",2017-04-30,,"Even worse as &quot;download failed&quot; is within seconds doesn't even attempt to upload then &quot;download failed&quot; as before!!!!! PLEASE PLEASE PLEASE SORT ASAP!  24/4/17 Still won't download on my Moto G!!!!!!👿👿👿👿 nothing has changed from the above review 👿👿👿 WHEN IS THIS GOING TO BE FIXED????? BBC PLEASE RESPOND!!!!!  30th April and NO CHANGE!!!!!!!👿👿👿👿👿 BBC is this ever going to be fixed for Motorola users?????","Helen Foley",1,,
"BBC iPlayer",2017-04-30,,"Used to work flawlessly, also with the brilliant Chromecast. Now it stalls when pausing - which is a pain. Have to restart and relocate last viewed location manually.","Mtin M",3,,
"BBC iPlayer",2017-04-30,,"Still can't see details of upcoming programmes.","Ben Howes",3,,
"BBC iPlayer",2017-04-30,,"I had bbc player on my old phone and it worked.on this Samsung galaxy mini it doesn't seem to I am very disappointed as bbc 1 is channel I watch most.please rectify.",,1,,
"BBC iPlayer",2017-04-30,,"Would love​ to be able to watch some downloaded programmes​ on the go, but no because I still can't watch downloaded content and haven't been able to for months and months. Downloads are black and white and pixelated. Update, after over another month still no fix. Why the hell does it take so long to fix!","A Google User",1,,
"BBC iPlayer",2017-04-30,,Yes,"Charlie Holmes",5,,
"BBC iPlayer",2017-04-30,,Rubish,"Robber _8",1,,
"BBC iPlayer",2017-04-30,,"Really good",,5,,
"BBC iPlayer",2017-04-30,,"My sis loves it and she is 5","boshy yoshi",5,,
"BBC iPlayer",2017-04-29,,"It play dr who thats all that counts","DBM Xclusive",5,,
"BBC iPlayer",2017-04-29,,"Why does everything now have audio description and sign language with no option to turn off? I'm lucky to be fully sighted and not hard of hearing and pay full licence fee but the option to remove audio description is not there. It's intensely irritating and is twice as loud as the soundtrack. Worst update so far! Plus there's no HD any more and no option in the settings for that either! I commend the accessibility options, but it would be great to have the option not to use for those that don't require it!","Eddie Case",1,,
"BBC iPlayer",2017-04-29,,Class,"Samuel Corrigan",5,,
"BBC iPlayer",2017-04-29,,"A great app to use for watching BBC shows and episode's",,5,,
"BBC iPlayer",2017-04-29,,"I watch cbebbies","Abigail Burgin",5,,
"BBC iPlayer",2017-04-29,,"Brilliant but I would like the more popular TV shows like the walking dead added to it","BIGSTEDIDZ 10",4,,
"BBC iPlayer",2017-04-29,,Lovely,"Simon Donovan",5,,
"BBC iPlayer",2017-04-29,,"This is a brilliant app","Lobetha Perinpanthan",5,,
"BBC iPlayer",2017-04-29,,"It's great but something has happened to my itv gib and I can't watch it I was last night though I'm disabled to and can't get it on I need some help please from caroline harrington",,5,,
"BBC iPlayer",2017-04-29,,Ok,,5,,
"BBC iPlayer",2017-04-29,,"nothing will download, I've tried changing up the settings and un/reinstalling. please fix.","Theo Clarke",2,,
"BBC iPlayer",2017-04-29,,"This app is really good   And also I like it for recordings",,5,,
"BBC iPlayer",2017-04-29,,"It good","Finlay Cotgreave",5,,
"BBC iPlayer",2017-04-28,,"I like watching Casualty on it because I haven't got time. I do GCSE work but thank you.","Charlotte Taylor",5,,
"BBC iPlayer",2017-04-28,"The last kingdom",Real,"Paul Coupland",4,,
"BBC iPlayer",2017-04-28,,Good,"Alesso Briona",5,,
"BBC iPlayer",2017-04-28,,Good,"grace clarke",5,,
"BBC iPlayer",2017-04-28,,"Still getting used to it","Rita Arraya",5,,
"BBC iPlayer",2017-04-28,,Good,,5,,
"BBC iPlayer",2017-04-28,,"I love you","Lisa Godfrey",5,,
"BBC iPlayer",2017-04-28,,"I was just going to catch up on a missed episode of the musketeers last night,  my wifi is strong and my signal too.  It repeatedly says &quot;Try Again&quot;.. Any help? BTW BBC is racist.  So you know.","0 Vids 10 subs",1,,
"BBC iPlayer",2017-04-28,,"I think that  this app is great for adults","Amena Ahmed",5,,
"BBC iPlayer",2017-04-28,,"Very helpful and very intertaining",,5,,
"BBC iPlayer",2017-04-28,,"you have to have a TV licence to wach",,1,,
"BBC iPlayer",2017-04-28,,"Bbc iplayer is the best better than the rest.",,5,,
"BBC iPlayer",2017-04-28,,"Its okay for certain things","Grace Curtis",5,,
"BBC iPlayer",2017-04-28,,"Good app but audio and video are not in sync when playing downloads (Samsung S7 user). Please fix asap",,2,,
"BBC iPlayer",2017-04-28,,"I like this app","Joshua Slack",5,,
"BBC iPlayer",2017-04-27,,"Terrible. Used to work perfectly on my LG tablet. Now downloads are unwatchable the playback is split into horizontal pixelated grey bands and you cant see any thing. Used to use all the time but have binned now.","Tom L",1,,
"BBC iPlayer",2017-04-27,,"It does what is needed from this app to do that's all avarage","FK Khan",3,,
"BBC iPlayer",2017-04-27,,Goooooooood,,5,,
"BBC iPlayer",2017-04-27,,"Advert advert advert it's gone crap what's going on","Wayne Will",1,,
"BBC iPlayer",2017-04-27,,"Great app however  PLEASE FIX THE DOWNLOADS. I used to be able to download episodes but now I can't. Please fix!!!","Lucy Phillips",4,,
"BBC iPlayer",2017-04-27,,"It is a handy app just needs updating",,4,,
"BBC iPlayer",2017-04-27,,"I am not impressed. This app is extremely unstable, and when it crashed, I need to reinstall to work. Also, why can't you download shows to an external SD card, or in a lower resolution to reduce file size.","Matthew Fooks",2,,
"BBC iPlayer",2017-04-27,,"it is petty good","MANISHA RANA",5,,
"BBC iPlayer",2017-04-27,,Cool,"fam clan",5,,
"BBC iPlayer",2017-04-27,,"Great app but on my fire tv stick i am constantly stuck on the loading screen even after un installing and downloading again","Chrise Roberts",4,,
"BBC iPlayer",2017-04-27,,"&quot;Download failed&quot; problem seems to be fixed. Please test the next release internally, not on customers.","Chris Jones",4,,
"BBC iPlayer",2017-04-26,,"The download feature literally stops working after few downloads. I have to reinstall the app just to make sure I can download.","Swati Raina",1,,
"BBC iPlayer",2017-04-26,,"Use it for long coach journeys,  brilliant facility!","Jan Knowles",4,,
"BBC iPlayer",2017-04-26,,"It's nice but hank zipzer doesn't comes on anymore","Ruqayya Mahmood",3,,
"BBC iPlayer",2017-04-26,,"Great app, as long as you have the dexterity to use it. My mother can't hit any of the smaller buttons. Try clicking on the cast button, for example, with 70 year old hands. Come on BBC, accessibility is part of what you are meant to be good at. Do you do UX with older folk?","Ashley Woodfall",2,,
"BBC iPlayer",2017-04-26,,"Does not work with Samsung tablet. Will not download programmes. Issue still not resolved after a few months.","Clive Lane",1,,
"BBC iPlayer",2017-04-26,,"I used to use this app all the time however it's now useless as every program you try to download fails, which is highly irritating! I've even uninstalled the app several times then reinstalled it as that used to work in the past but it doesn't anymore. Please, SORT IT OUT!!!","Holly Wilkins",2,,
"BBC iPlayer",2017-04-25,,"After this update i cant download anything. Plus i lost everything i previously had download. Ive used this app for years with no issues unrill now. Come on sort it out","Lee Williams",1,,
"BBC iPlayer",2017-04-25,,"It's  not bad","Liam Rhodes",5,,
"BBC iPlayer",2017-04-25,,"This latest update is rubbish. It has deleted my downloaded programmes and now all downloads fail. Typical BBC try to fix something that isnt broken","Les Byrne",1,,
"BBC iPlayer",2017-04-25,,"BBC iPlayer has disappeared off my phone and when i try to reinstall it, get a message saying Google play has stopped!","Wendy Williams",1,,
"BBC iPlayer",2017-04-25,,"It takes up to much room on my phone","Finley Charles",1,,
"BBC iPlayer",2017-04-25,,"Despite moving this app to my external card, despite what it says, anything I download goes into internal memory which is very unhelpful, especially as most of mine is already used up by unneeded apps that I can't delete.",,3,,
"BBC iPlayer",2017-04-25,,"Downloaded programmes don't sync with Bluetooth and are far too low on wired headphones , making the Download facility not as useful as it could be",,2,,
"BBC iPlayer",2017-04-24,,"Audio is always out of sync making the app pretty much useless","Oliver Place",1,,
"BBC iPlayer",2017-04-24,,"Unable to download anything in the last few weeks. Didnt have problems til recently. Very disappointing","nic court",1,,
"BBC iPlayer",2017-04-24,,Crap,"Denise Hughes",1,,
"BBC iPlayer",2017-04-24,,"This app has got so much better. I particularly like the feature that lets you watch live TV and wind it back to the beginning of the show. This would be made even better if I could chrome cast the program I have started from the beginning.","Steve H2488",5,,
"BBC iPlayer",2017-04-24,,"Since you started it updating this app, it just does not work. I'm on to my fourth re install in as many weeks.","Dave Ripley",1,,
"BBC iPlayer",2017-04-24,,"I feel that once you have downloaded the programme's you want, you should be able to keep them until you want to delete them not have a certain amount of time to watch them.","Dominic Roberts",3,,
"BBC iPlayer",2017-04-24,,"Plays programmes no problem but downloads always fail.","James Dawson",2,,
