Source,Date,Title,Content,Name,Rating,Version,Device
"BBC iPlayer",2017-04-17,"SORT YOUR APP OUT","Downloads get to 5% then just say 'Download failed' sort it out.",Mowgli101,1,4.25.3,
"BBC iPlayer",2017-04-17,"Airplay not working","AirPlay doesn't work on downloads. Maybe you in central London have fast enough internet everywhere that downloading isn't necessary, but those of us in the real world, at the mercy of Openreach's super slow rollout of super fast broadband, have to download if we want more than 240p. How is it that you don't test updates before pushing them out?",Rbrian,2,4.25.3,
"BBC iPlayer",2017-04-17,"Can't do anything","It's hopeless u cant download anything. And if u eventually do an ""unknown error"" occurs. Needs desperately fixing as at the moment it's not useable. 
SOMEONE FIX IT!!!",Munchkinbartram,1,4.25.3,
"BBC iPlayer",2017-04-17,"Downloads not working","Downloads not working after latest update. Rubbish",Avfc1234,1,4.25.3,
"BBC iPlayer",2017-04-17,"What's happened? This used to be a great app","I haven't used this for ages, but wanted to download some stuff to take on holiday with me. What's happened? It used to be brilliant but now I can't download anything. Haven't tried watching stuff..but if it won't download what's the point?","Poppy 63",1,4.25.3,
"BBC iPlayer",2017-04-16,"Gear for catch-up","Let's me watch Top Gear at least on my iPhone on the train.",Jimbo-Raddish,5,4.25.3,
"BBC iPlayer",2017-04-16,"Since update no longer loads","Wish I could give the BBC zero stars for this version of the iPlayer.  Quite simply it does not work despite uninstalling and re-downloading numerous times.  Sort it out.",Phil131,1,4.25.3,
"BBC iPlayer",2017-04-16,"Sums up why the BBC is failing viewers","The app used be to excellent and worked fine but recent updates have completely ruined the experience.
If you use an iPad, forget using this app, Corporation is fully aware that iPad users are having great difficulty in downloading programmes but can't even be bothered to put up a flash screen warning you of this.  Only when you go into the hidden away help pages do you find this out, yet fixing it doesn't seem to be a priority for either the Corporation.
Remember you are publicly funded and poor behaviour like this easily sways opinion about your future!","Blue Orpheus 2016",1,4.25.3,
"BBC iPlayer",2017-04-15,"A real let down","Would give 0 stars if the option was available. The apps purpose is none existent when none of the programs actually play! Fix this or everyone might as well delete this useless app.",Elsie41,1,4.25.3,
"BBC iPlayer",2017-04-14,"Downloading fails","After the update, programs just fail to download immediately","Dc hammer xt",1,4.25.3,
"BBC iPlayer",2017-04-14,"This Needs fixing","When i load the 'Live Channels' and select my tv programme it starts to load and then it says 'An Uknown error occurred' this is very fustrating when i want to watch live programmes, i'm using 'ios 10.3.1' i hope this can be fixed, 

Anthony","TaBz x KiLLeRzZ",3,4.25.3,
"BBC iPlayer",2017-04-14,"Missing some pretty basic features","Like, how hard would it be to show which episodes I've already watched? Every other catch up service does this, why not BBC?",Clare👻,2,4.25.3,
"BBC iPlayer",2017-04-13,GREAT!!!,"Very good I can watch nearly every program on this","Apple eating pug",5,4.25.3,
"BBC iPlayer",2017-04-12,Downloads.,"Worked fine for last 12 months but whatever BBC have done to this app now goodness knows. Will not download any programmes to phone. Just stuck in queue. Sort this please. To liscene for BBC ludicrous enough so should at least be able to watch this when I want from downloads. Not every where has wifi and I don't want unlimited data on phone when I pay for unlimited broadband so I can store to phone. 
Not happy bunny","I am not complaining",2,4.25.3,
"BBC iPlayer",2017-04-12,"Doesn't really work since latest update","Now takes forever to download - if it downloads at all. It takes so long to download a programme I just give up.

Also won't play anything unless phone is airplane mode.

Now utterly useless","Mandatory review bot",1,4.25.3,
"BBC iPlayer",2017-04-11,"Recent update made things worse","Until the latest update I had no problems. Now it won't let me airplay from iPhone via Apple TV. I find this app good for catching up on stuff I've missed or at least, I used to. Come on BBC, sort it out.

Update:  I got round this glitch by deleting the app and downloading it again. It now works. It's a good app and this recent problem was the first I've had.","Woolly Brain",1,4.25.3,
"BBC iPlayer",2017-04-11,"Download failed frustration","Downloads fail constantly. Never been a problem before.",labradoodle,1,4.25.3,
"BBC iPlayer",2017-04-11,"Good, but could be better.","Could be improved if live programs had subtitles, as on broadcast TV.","David J Taylor",4,4.25.3,
"BBC iPlayer",2017-04-11,"Sort this out!!!","The latest update means this crashes, freezes and refuses to download or play downloads.
Some older content was deleted which means a programme that was previously available for months is no longer available.
No warning was given about this, only a message once the update had been completed! 
Please fix these issues or I won't use the service...","Queen Tiy",1,4.25.3,
"BBC iPlayer",2017-04-11,"The BBC",Ok……,"Ok bye you have to",4,4.25.3,
"BBC iPlayer",2017-04-11,"Very disappointing","The app claims I live outside of the UK when I do not, therefore does not allow me to watch any programmes. As well as that, for the past few months no programmes finish downloading and just say 'download failed'. The app is super slow too. If I could, I would rate it 0/5. Do not waste your time and don't download it!",Kz562005,1,4.25.3,
"BBC iPlayer",2017-04-10,"Not downloading!!!!","It's not downloading at all, SORT IT OUT!!!!",Ozyly,1,4.25.3,
"BBC iPlayer",2017-04-10,"Doesn't do as it says on the tin","Programmes won't download onto IPad. As I watch most programmes this way I'm extremely disappointed and fail to see why I should pay for my licence fee if this continues.",Odidge,1,4.25.3,
"BBC iPlayer",2017-04-09,"Where are my previous (paid for) downloads?","Generally i am a massive fan of the BBC iPlayer however last week i was disappointed to find half of my downloaded programmes had been 'deleted to improve my viewing experience etc'Please note: The programmes that were 'deleted' were programmes that I had purchased via the BBC store and dowloaded via the iPlayer app. I have legitimately paid for these and pay my TV licence so i don't like the BBC to make assumptions and delete my purchases. I pay for limited broadband and DO NOT expected to re-stream or download programmes that i have paid for and used broadband data on doing so. I expect to be asked before deletions are made. I would prefer to rate you no stars but have to chose somethings so you get one star from me but really its no-stars. Zero. Rubbish.",Thatdamien,1,4.25.3,
"BBC iPlayer",2017-04-09,"AirPlay fails to work on downloads...","The most recent update is very poor...  programs downloaded will not play on AirPlay.  With a internet connection that can't always be relied upon this is very poor.  A backward step.  Please reinstate this key feature.",PRM2,1,4.25.3,
"BBC iPlayer",2017-04-09,"Download debacle","Please please try and sort this issue with download fail......",Rosbee,1,4.25.3,
"BBC iPlayer",2017-04-09,"Not good - won't work","They keep messing with it. Now you can't download anything on the iPad to watch offline, tried to complain by email and they suggested I should delete all my downloads and reinstall the app. Not good. Hey BBC, get a grip and sort this out, don't hide behind bull standard answers ... Stop tinkering with the app and just make it work :((((",Brun660-,1,4.25.3,
"BBC iPlayer",2017-04-08,"Downloads fail","You can watch with wifi but downloads have failed for last few updates so 1 star until they sort this out - surely it's one of the most important functions of the app??!",QT2010,1,4.25.3,
"BBC iPlayer",2017-04-08,"iPlayer is not working with Apple TV","Great App  I use it a lot  But very sorry to report but I am having with problems with  iPlayer not working with Apple TV I have try uninstalled and reinstall the iPlayer and rebooted my iPad and I done the same with my iPhone but I have same problem. Hope this can be fix quickly. Until then I can only give it 4 out 5 stars",Ampleskin,4,4.25.3,
"BBC iPlayer",2017-04-08,"Please add in keychain support!!","I enjoy using the iPlayer app on my iPhone but you are currently forcing users to login fresh with each update. I use suggested passwords within iOS to ensure I have good quality passwords. I really can't remember this password and to be honest I don't really want to. But it's becoming a pain trying to log back into iPlayer after every update. Please can you add in support for keychain so I can unlock the password with Touch ID and have it automatically added to the app login screen when I add in my username. It would make this whole process much more user friendly and less of a chore that just ends up putting me off using the app in favour of other entertainment apps that I can just access so much easier. Simple tweak to make your users life easier. That's got to be a win win for everyone!",jbuk,4,4.25.3,
"BBC iPlayer",2017-04-08,"A great app has just stopped downloading","App has updated and now stops downloading after 5%. Same for all programmes. Tried all settings to no avail. Downloading on all other apps works, Apple iOS up to date. Please fix - need this for CBeebies and a long car journey ahead with 2 young children!",Boonse1980,1,4.25.3,
"BBC iPlayer",2017-04-08,"Please listen","Why, why, why do we still not have the programmes in order of when they expire?",MsVictoria1,2,4.25.3,
"BBC iPlayer",2017-04-07,"Very frustrating app","I find it very frustrating that when a programme you are watching finishes, it carries on playing other episodes in the series instead of just stopping. 

As I use this app mainly when I go to bed I lose track of what I have watched and what has played once I've gone to sleep.",K.B.123,3,4.25.3,
"BBC iPlayer",2017-04-06,"New version of app not downloading","Tried updating the app it it won't download ..so I deleted app and tried to re install but it's still doing the same ...not downloading",johnrob23,1,4.25.3,
"BBC iPlayer",2017-04-06,Hopeless,"Each version seems to bring more problems. They fixed the annoying banging sound when you start the app. but now nothing that you've downloaded will play on Airplay.

Latest update tried: 05/04/17, problem not fixed - now completely useless! I knew I shouldn't have upgraded.

Thanks Beeb...","Mr Sensible",1,4.25.3,
"BBC iPlayer",2017-04-06,"AirPlay not working anymore on downloads","The latest version of iPlayer will not play downloads through AirPlay to Apple TV. Most annoying. Only playable using AirPlay mirroring which reduces the picture size.
Otherwise I love this app",Rafeymac,3,4.25.3,
"BBC iPlayer",2017-04-05,"Airplay not working","Airplay no longer working with latest updates. Using ios9.3.5. Content plays on device but when I switch to AirPlay I get a message that says content is not available",Threepennys,2,4.25.3,
"BBC iPlayer",2017-04-05,"AirPlay to Apple TV stopped working","The latest version stops me from using airplay. Programme plays fine on device but can't be mirrored on TV anymore🤕","Ace van de Meer",3,4.25.3,
"BBC iPlayer",2017-04-05,Jumping,"It crashes when I go into menu and press home. Always been fine before. Now it jumps backwards and forwards and freezes so some of programmes are missed.","Dolly mixtures",2,4.25.3,
"BBC iPlayer",2017-04-05,"App keeps crashing","The lasted update is flawed. Better off with Netflix and Amazon Prime.",BMBysie,1,4.25.3,
"BBC iPlayer",2017-04-05,"Better guide","I like this app but the guide could be better. Perhaps add a synopsis for upcoming shows and reminder alerts too maybe.",Crigga84,4,4.25.3,
"BBC iPlayer",2017-04-05,"works again","Now working again.....",robpb1,3,4.25.3,
"BBC iPlayer",2017-04-05,"Current version iPlayer","This latest version is full of bugs. It doesn't refresh on the TV guide when you try to. It blanks out it switches off completely, keeps asking me to send reports and i am hoping it will be fixed asap",MillySuz,1,4.25.2,
"BBC iPlayer",2017-04-04,"Not fixed .","Worked great until update . Now crashing 💩💩",Pjcf1fan,1,4.25.2,
"BBC iPlayer",2017-04-04,"Download Queue Causes Instant Crash","The current version crashes instantly if the download queue is viewed. Otherwise it seems reasonably stable.",Troddles,2,4.25.2,
"BBC iPlayer",2017-04-03,"Need to fix...","I LOVE this app! It's great. You can watch what you want that's on BBC for free with no hassle. I used to be able to download anything tho, but recent updates have lead me NOT to be able to. Please fix this as I love the app but cannot watch anything with no wifi and causes some problems, if this is fixed it will be with FIVE stars😊 thank you❤",Fsrrg,4,4.25.2,
"BBC iPlayer",2017-04-03,"Deletes your downloads","This new version removes all your downloaded programmes without any warning. Outrageous & unacceptable.",Pete5819zan,1,4.25.2,
"BBC iPlayer",2017-04-03,"Apparently 'not in the UK'","It's been saying that I'm not in the UK for while now so won't let me watch the programs but I know for a fact that I am in the UK it's starting to really bug me",Ems12245,2,4.25.2,
"BBC iPlayer",2017-04-02,"queue just crashes","queue option just doesn't work at all. it just crashes. so you have not idea what is going on 
great upgrade",bigcrashagain,1,4.25.2,
"BBC iPlayer",2017-04-02,"Recent error","I absolutely love this app. I think it's a really good use of license fee.

Recent problem- downloading used to take 10 mins now takes nearly three times that. During downloading of a programme it crashes and closes the app. I cannot click on queue without it shutting down. I have sent report but problem not flexed yet.

Other than that no complaints would highly recommend it. Easy to use and great variety.",GyasiW,3,4.25.2,
"BBC iPlayer",2017-04-02,bug,"Now the app crashes every time I try to look at the queue to download. Hopeless.","Griff u",1,4.25.2,
"BBC iPlayer",2017-04-02,"I'm having problems...","Before the most recent update it was fine but now it keeps crashing during a program so I have to go off and on again and I know it's not the wi-fi because it works on Netflix",Apollows,4,4.25.2,
"BBC iPlayer",2017-04-02,"Losing functionality.","Can't watch or download some of my purchased programs with this latest update.",scienceshopper,1,4.25.2,
